CODE,DESCRIPTION
1737449,10 ML Pamidronate Disodium 3 MG/ML Injection
1740467,2 ML Ondansetron 2 MG/ML Injection
1790099,10 ML Doxorubicin Hydrochloride 2 MG/ML Injection
1803932,Leucovorin 100 MG Injection
1804799,Alteplase 100 MG Injection
1807513,vancomycin 1000 MG Injection
1808217,100 ML Propofol 10 MG/ML Injection
1856546,Kyleena 19.5 MG Intrauterine System
1860154,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 15 MG Extended Release Oral Tablet
1860480,1 ML DOCEtaxel 20 MG/ML Injection
1870230,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector
1873983,ribociclib 200 MG Oral Tablet
1946840,Verzenio 100 MG Oral Tablet
197319,Allopurinol 100 MG Oral Tablet
197361,Amlodipine 5 MG Oral Tablet
197378,Astemizole 10 MG Oral Tablet
197541,Colchicine 0.6 MG Oral Tablet
197591,Diazepam 5 MG Oral Tablet
197604,Digoxin 0.125 MG Oral Tablet
198014,Naproxen 500 MG Oral Tablet
198031,24hr nicotine transdermal patch
198240,Tamoxifen 10 MG Oral Tablet
198405,Ibuprofen 100 MG Oral Tablet
198440,Acetaminophen 500 MG Oral Tablet
198767,Pancreatin 600 MG Oral Tablet
199224,anastrozole 1 MG Oral Tablet
200064,letrozole 2.5 MG Oral Tablet
2001499,Vitamin B 12 5 MG/ML Injectable Solution
2047241,baricitinib 2 MG Oral Tablet
204892,clonazePAM 0.25 MG Oral Tablet
205532,Pulmozyme (Dornase Alfa)
205923,1 ML Epoetin Alfa 4000 UNT/ML Injection [Epogen]
2103182,1 ML Vasopressin (USP) 20 UNT/ML Injection
2119714,5 ML hyaluronidase-oysk 2000 UNT/ML / trastuzumab 120 MG/ML Injection
2123111,NDA020503 200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler
2284960,remdesivir 100 MG Injection
235389,Mestranol / Norethynodrel [Enovid]
241834,cycloSPORINE  modified 100 MG Oral Capsule
242969,4 ML Norepinephrine 1 MG/ML Injection
243670,Aspirin 81 MG Oral Tablet
245314,Albuterol 5 MG/ML Inhalation Solution
259255,Atorvastatin 80 MG Oral Tablet
308182,Amoxicillin 250 MG Oral Capsule
308192,Amoxicillin 500 MG Oral Tablet
308460,Azithromycin 250 MG Oral Tablet
308971,Carbamazepine[Tegretol]
309043,12 HR Cefaclor 500 MG Extended Release Oral Tablet
309045,Cefaclor 250 MG Oral Capsule
309097,Cefuroxime 250 MG Oral Tablet
309362,Clopidogrel 75 MG Oral Tablet
310325,ferrous sulfate 325 MG Oral Tablet
310385,FLUoxetine 20 MG Oral Capsule
310436,Galantamine 4 MG Oral Tablet
310798,Hydrochlorothiazide 25 MG Oral Tablet
310965,Ibuprofen 200 MG Oral Tablet
311372,Loratadine 10 MG Oral Tablet
311700,Midazolam 1 MG/ML Injectable Solution
311989,Nitrofurantoin 5 MG/ML Oral Suspension
311995,NITROFURANTOIN  MACROCRYSTALS 50 MG Oral Capsule
312617,predniSONE 5 MG Oral Tablet
312938,Sertraline 100 MG Oral Tablet
312961,Simvastatin 20 MG Oral Tablet
313002,Sodium Chloride 9 MG/ML Injectable Solution
313185,Tacrine 10 MG Oral Capsule
313782,Acetaminophen 325 MG Oral Tablet
313820,Acetaminophen 160 MG Chewable Tablet
313988,Furosemide 40 MG Oral Tablet
314231,Simvastatin 10 MG Oral Tablet
389221,Etonogestrel 68 MG Drug Implant
429503,Hydrochlorothiazide 12.5 MG
477045,Chlorpheniramine Maleate 2 MG/ML Oral Solution
483438,pregabalin 100 MG Oral Capsule
542347,Isoflurane 999 MG/ML Inhalant Solution
562251,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet
562366,desflurane 1000 MG/ML Inhalation Solution
583214,PACLitaxel 100 MG Injection
583214,Paclitaxel 100 MG Injection
596926,duloxetine 20 MG Delayed Release Oral Capsule
597195,Carboplatin 10 MG/ML Injectable Solution
608139,atomoxetine 100 MG Oral Capsule
665078,Loratadine 5 MG Chewable Tablet
705129,Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray
727711,0.67 ML anakinra 149 MG/ML Prefilled Syringe
727762,5 ML fulvestrant 50 MG/ML Prefilled Syringe
746030,Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet
748856,Yaz 28 Day Pack
748879,Levora 0.15/30 28 Day Pack
748962,Camila 28 Day Pack
749762,Seasonique 91 Day Pack
749785,Ortho Tri-Cyclen 28 Day Pack
749882,Norinyl 1+50 28 Day Pack
751905,Trinessa 28 Day Pack
752899,0.25 ML Leuprolide Acetate 30 MG/ML Prefilled Syringe
757594,Jolivette 28 Day Pack
807283,Mirena 52 MG Intrauterine System
831533,Errin 28 Day Pack
833036,Captopril 25 MG Oral Tablet
833135,Milnacipran hydrochloride 100 MG Oral Tablet
834061,Penicillin V Potassium 250 MG Oral Tablet
834102,Penicillin V Potassium 500 MG Oral Tablet
834357,3 ML Amiodarone hydrocholoride 50 MG/ML Prefilled Syringe
849574,Naproxen sodium 220 MG Oral Tablet
854228,0.3 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe
854235,0.4 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe
854252,1 ML Enoxaparin sodium 150 MG/ML Prefilled Syringe
855332,Warfarin Sodium 5 MG Oral Tablet
856980,Acetaminophen/Hydrocodone
856987,Acetaminophen 300 MG / HYDROcodone Bitartrate 5 MG Oral Tablet
857005,Acetaminophen 325 MG / HYDROcodone Bitartrate 7.5 MG Oral Tablet
860975,24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet
861467,Meperidine Hydrochloride 50 MG Oral Tablet
865098,Insulin Lispro 100 UNT/ML Injectable Solution [Humalog]
866414,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet [Toprol]
895994,120 ACTUAT Fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler
896209,60 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler
897122,3 ML liraglutide 6 MG/ML Pen Injector
897718,Verapamil Hydrochloride 40 MG
904419,Alendronic acid 10 MG Oral Tablet
966222,Levothyroxine Sodium 0.075 MG Oral Tablet
978950,Natazia 28 Day Pack
979092,Hydroxychloroquine Sulfate 200 MG Oral Tablet
993452,1 ML denosumab 60 MG/ML Prefilled Syringe
996740,Memantine hydrochloride 2 MG/ML Oral Solution
997223,Donepezil hydrochloride 10 MG Oral Tablet
997488,Fexofenadine hydrochloride 30 MG Oral Tablet
997501,Fexofenadine hydrochloride 60 MG Oral Tablet
999967,amLODIPine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet
999998,Leronlimab 700 MG Injection
999999,Aviptadil Infusion
999999,CD24Fc 480 MG IV
999999,CM4620 Injectable Emulsion
999999,Lenzilumab 200 MG IV
